"ID_Epic","issue_num","assignee","description","timeoriginalestimate","timeestimate","timespent"
"10013","14",NULL,NULL,NULL,NULL,NULL
"10014","15",NULL,NULL,NULL,NULL,NULL
"10016","17",NULL,NULL,NULL,NULL,NULL
"10019","20","JIRAUSER10401","Sans UDF

 ","28800","0","7200"
"10020","21","JIRAUSER10100","Ramener l'infomation de la garantie du loan en question (avec UDF)

Si pas de garantie ramener NULL

Mise en place du Service qui consomme la requette

 ","28800","0",NULL
"10021","22","JIRAUSER10100","After approval no changes can be made to the Loan Application.","57600","0","57600"
"10022","23","JIRAUSER10100","* changer Text 
 * Bare image (how to update it)
 * validation
 * enlever forget password","21600","0","21600"
"10023","24","JIRAUSER10401",NULL,"28800","0","28800"
"10108","35","JIRAUSER10401",NULL,"28800","0","28800"
"10109","36","JIRAUSER10401",NULL,"57600","0","100800"
"10301","39",NULL,NULL,NULL,NULL,NULL
"10419","56",NULL,":info+NOTE+:

*version*: 0.1.19

*Environnement* : QA
----
h5. Précondition :

Définition de la précondition
----
h5. Etapes de reproduction :
 # Step 1

 # Step 2

 # Step N

----
h5. Résultat attendu :

Définition du résultat attendu
----
h5. Résultat obtenu :

Définition du résultat obtenu","28800","28800",NULL
"10420","57",NULL,NULL,"1152000","1152000",NULL
"10421","58","JIRAUSER10100"," 

 ","115200","21600","93600"
"10422","59",NULL,NULL,"576000","576000",NULL
"10423","60","JIRAUSER10401","Select loans by user (connected) and whrite in logger log4j

use Spring batch","86400","0","100800"
"10424","61","JIRAUSER10401"," Configure row mapper and testing

l'idée c'est de se connecter à Abacus et sélectionner les data

 ","86400","0","86400"
"10425","62","JIRAUSER10401","Conception du modele de base de donnée  pour le user profile

 ","28800","0","28800"
"10426","63","JIRAUSER10101",NULL,"28800","0","14400"
"10427","64",NULL,NULL,"28800","0","28800"
"10428","65","JIRAUSER10100",NULL,"57600","0","57600"
"10429","1","JIRAUSER10400",NULL,"3600","0","14400"
"10430","2","JIRAUSER10400",NULL,"10800","0","10800"
"10431","3","JIRAUSER10400",NULL,"57600","14400","43200"
"10432","4","JIRAUSER10400",NULL,"201600","0","216000"
"10433","5","JIRAUSER10000",NULL,"86400","0","86400"
"10434","6","JIRAUSER10400",NULL,"86400","28800","57600"
"10435","7","JIRAUSER10400",NULL,"86400","0","86400"
"10436","8","JIRAUSER10400",NULL,"86400","7200","79200"
"10438","10","JIRAUSER10400",NULL,"86400","28800","57600"
"10439","11","JIRAUSER10400","[^Documentation SSIS vs Talend.docx] 

 ","28800","0","57600"
"10440","12","JIRAUSER10400",NULL,"0","0",NULL
"10441","13","JIRAUSER10400",NULL,"28800","0","28800"
"10442","14","JIRAUSER10400",NULL,"144000","0","144000"
"10443","66","JIRAUSER10401",NULL,"28800","0","28800"
"10444","67","JIRAUSER10401","* chargement de la table  *acm.loan* a partir de la table *demoabacus.CULoan*
 * configuration mécanisme de notification par mail suite au chargement","28800","0","28800"
"10445","68","JIRAUSER10401","mis en place d'une première version (vue avec [~soumaya.barkallah] )","28800","0","28800"
"10446","69","JIRAUSER10100",NULL,"28800","0","57600"
"10447","15","JIRAUSER10400","[Controle de la qualité des données.docx ] (confluence)","28800","0","28800"
"10448","16","JIRAUSER10400",NULL,"28800","0","86400"
"10449","17","JIRAUSER10400","[^Documentation SSIS vs Talend.docx] (Confluence)","14400","14400",NULL
"10450","70","JIRAUSER10401","Ajouter table DOC_LOAN

Sauvgarde dans la table","86400","0","14400"
"10451","71","JIRAUSER10100","Zone de text avec des caractéristique word

Edit avec histo changement (comme mantis)

Pas de delete","86400","0","14400"
"10452","18","JIRAUSER10400",NULL,"7200","7200",NULL
"10453","72","JIRAUSER10401",NULL,"28800","0","36000"
"10454","73",NULL,NULL,"0","0",NULL
"10455","74",NULL,NULL,"0","0",NULL
"10456","75",NULL,NULL,"0","0",NULL
"10457","76","JIRAUSER10101",NULL,"14400","0","7200"
"10458","77","JIRAUSER10101",NULL,"14400","0","7200"
"10459","78","JIRAUSER10600","* préparation IHM
 ** proposition a valider avec [~soumaya.barkallah]
 * load liste loan
 ** utilisation service : voir fichier acm_url : *FIND_LOANS*
 * utilisation service backend du contrôleur : class *DocumentsLoanController*
 ** save
 ** recherche","57600","0","72000"
"10460","79","JIRAUSER10101",NULL,"14400","0","10800"
"10461","80","JIRAUSER10101","Tous les écrans avec chemin de navigation","86400","0","43200"
"10462","81","JIRAUSER10000","Requette SQL","7200","0","14400"
"10463","82","JIRAUSER10000",NULL,"7200","0","14400"
"10464","83","JIRAUSER10401","* paramétrage documents par produit
 * paramétrage des documents requis pour le clients","28800","0","28800"
"10465","84","JIRAUSER10000",NULL,"144000","0","122400"
"10466","85","JIRAUSER10401","- Add new columns in *Loan* model :
 * ID_ACCOUNT_EXTERN
 * ACCOUNT_NUMBER_EXTERN

- Mis a jour batch

 ","14400","0","14400"
"10467","86","JIRAUSER10100","-- ACM : DATA BASE-- ACM : DATA BASE
--- RESET DB : IF OBJECT_ID('dbo.ACM_USERS', 'U') IS NOT NULLDROP TABLE dbo.ACM_USERS;
IF OBJECT_ID('dbo.ACM_ENVIRONNEMENT', 'U') IS NOT NULLDROP TABLE dbo.ACM_ENVIRONNEMENT;
IF OBJECT_ID('dbo.ACM_REPORT_VISIT', 'U') IS NOT NULLDROP TABLE dbo.ACM_REPORT_VISIT;
IF OBJECT_ID('dbo.ACM_LOAN', 'U') IS NOT NULLDROP TABLE dbo.ACM_LOAN;-------------
----- TABLE : LOAN CREATE TABLE ACM_LOAN(
 ID_ACM_LOAN BIGINT NOT NULL IDENTITY(1,1) PRIMARY KEY,   
 ID_LOAN_EXTERN BIGINT NOT NULL,
 ID_ACCOUNT_EXTERN BIGINT,
 ACCOUNT_NUMBER_EXTERN VARCHAR (256),
 STATUT INT NOT NULL,
 PROCESS_INSTANCE_ID VARCHAR (256) NULL,
 PORTFOLIO_ID BIGINT NOT NULL, --- 0 : PAR DEFAULT PAS DE PROFIL COTÉ ABACUS
 ACM_ENABLED BIT NOT NULL DEFAULT 1,
 DATE_INSERTION DATE NULL, INSERT_BY  VARCHAR (256) NULL,
 DATE_LAST_UPDATE DATE NULL,
 UPDATED_BY  VARCHAR (256) NULL,
 ACM_VERSION INT NULL);-------------------
----- TABLE : USERS CREATE TABLE ACM_USERS(   
 USERNAME VARCHAR (256) NOT NULL PRIMARY KEY,   
 PASSWORD VARCHAR (256) NOT NULL,
 ACCOUNT_PORTFOLIO_ID BIGINT NOT NULL, --- 0 : PAR DEFAULT PAS DE PORTFOLIO COTÉ ABACUS
 USER_EXTERN_ID BIGINT NOT NULL, --- 0 : PAR DEFAULT PAS DE USER COTÉ ABACUS
 USER_PROFIL_ID BIGINT NOT NULL, --- 0 : PAR DEFAULT PAS DE PROFIL COTÉ ABACUS
 ID_USER BIGINT NOT NULL IDENTITY(1,1), 
 RESPONSABLE_ID BIGINT NOT NULL , --- 0 : PAS DE RESPONSABLE ACM_ENABLED BIT NOT NULL,
 ACM_ENABLED BIT NOT NULL DEFAULT 1,
 DATE_INSERTION DATE NULL, INSERT_BY  VARCHAR (256) NULL,
 DATE_LAST_UPDATE DATE NULL,
 UPDATED_BY  VARCHAR (256) NULL,
 ACM_VERSION INT NULL)-------------------
----- TABLE : ACM_ENVIRONNEMENT CREATE TABLE ACM_ENVIRONNEMENT(   
 ID BIGINT NOT NULL IDENTITY(1,1) PRIMARY KEY,   
 ACM_ENVIRONNEMENT_KEY VARCHAR (256) NOT NULL,
 ACM_ENVIRONNEMENT_VALUE VARCHAR (256) NOT NULL,
 ACM_ENABLED BIT NOT NULL DEFAULT 1,
 DATE_INSERTION DATE NULL, INSERT_BY  VARCHAR (256) NULL,
 DATE_LAST_UPDATE DATE NULL,
 UPDATED_BY  VARCHAR (256) NULL,
 ACM_VERSION INT NULL)------------------- 

----- TABLE : ACM_REPORT_VISIT CREATE TABLE ACM_REPORT_VISIT( ID_ACM_REPORT_VISIT BIGINT NOT NULL IDENTITY(1,1) PRIMARY KEY,   ID_ACM_LOAN BIGINT NOT NULL,
 DESCRIPTION VARCHAR(5000) NOT NULL, TITLE VARCHAR(255) NOT NULL,
 VISIT_BY VARCHAR (256) NULL, ACM_ENABLED BIT NOT NULL DEFAULT 1,
 DATE_INSERTION DATE NULL, INSERT_BY  VARCHAR (256) NULL,
 DATE_LAST_UPDATE DATE NULL,
 UPDATED_BY  VARCHAR (256) NULL,
 ACM_VERSION INT NULL,
 FOREIGN KEY (ID_ACM_LOAN) REFERENCES ACM_LOAN (ID_ACM_LOAN));","7200","0","7200"
"10469","88","JIRAUSER10100",NULL,"28800","0","68400"
"10470","89","JIRAUSER10100"," 

 ","14400","0","28800"
"10471","90","JIRAUSER10100"," 

 ","28800","0","28800"
"10472","91","JIRAUSER10100",NULL,"28800","0","86400"
"10473","92","JIRAUSER10600",NULL,"86400","0","122400"
"10474","93","JIRAUSER10100",NULL,"57600","0","115200"
"10475","94","JIRAUSER10401","Table de config de motifs de rejet:
 * Incorrect Application
 * Loan in Arrears
 * Insufficient History
 * Previous Bad Debt
 * Deceased

Table de motif de correction:
 * Visit Report
 * Guarantor
 * Collateral
 * Documents
 * Financial Analysis
 * Loan Info","86400","0","28800"
"10476","95","JIRAUSER10100",NULL,"28800","0","28800"
