"ID_Issue","ID_Sprint","ID_issue_type","ID_project","ID_ressources","ID_time","Ecart_delai","status","violation","ecart","passed","restant","issuecreated","issueduedate","timeoriginalestimate","timespent","summary","statuswords"
"10019","7","10001","10100",10401,0,"21600",6,0,"-0.750","1 year 4 mons 17 days 10:36:30","0","2019-12-06 04:23:30-08",NULL,"28800","7200","BE- Check Guarantor","closed"
"10020","7","10001","10100",10100,0,"0",6,0,"0.000","1 year 4 mons 17 days 10:36:17","0","2019-12-06 04:23:43-08",NULL,"28800","0","BE- Check Collateral","closed"
"10021","10","10001","10100",10100,0,"0",6,0,"0.000","1 year 4 mons 17 days 10:36:07","0","2019-12-06 04:23:53-08",NULL,"57600","57600","FE- Loan Approval","closed"
"10022","13","10001","10100",10100,0,"0",6,0,"0.000","1 year 4 mons 17 days 10:35:48","0","2019-12-06 04:24:12-08",NULL,"21600","21600","FE- Login page","closed"
"10023","9","10001","10100",10401,0,"0",6,0,"0.000","1 year 4 mons 17 days 10:35:38","0","2019-12-06 04:24:22-08",NULL,"28800","28800","BE - Setting Statuts Workflow","closed"
"10108","8","10001","10100",10401,0,"0",6,0,"0.000","1 year 4 mons 14 days 11:39:02","0","2019-12-09 03:20:58-08",NULL,"28800","28800","User Profile","closed"
"10109","8","10001","10100",10401,0,"-43200",6,1,"0.750","1 year 4 mons 14 days 11:38:51","0","2019-12-09 03:21:09-08",NULL,"57600","100800","Role Management","closed"
"10421","8","10001","10100",10100,0,"21600",6,0,"-0.188","1 year 2 mons 25 days 06:42:06","0","2020-01-29 08:17:54-08",NULL,"115200","93600","FE- Task Dashboard + Doc","closed"
"10423","6","10001","10100",10401,0,"-14400",6,1,"0.167","1 year 2 mons 25 days 06:34:41","0","2020-01-29 08:25:19-08",NULL,"86400","100800","Configuration & mise en place de Spring Batch","closed"
"10424","6","10001","10100",10401,0,"0",6,0,"0.000","1 year 2 mons 24 days 06:38:23","0","2020-01-30 08:21:37-08",NULL,"86400","86400","Configuration & mise en place du mécanisme connexion à BD Abacus","closed"
"10425","6","10001","10100",10401,0,"0",6,0,"0.000","1 year 2 mons 24 days 06:36:16","0","2020-01-30 08:23:44-08",NULL,"28800","28800","User profile DB design","closed"
"10426","6","10001","10100",10101,0,"14400",6,0,"-0.500","1 year 2 mons 24 days 06:33:58","0","2020-01-30 08:26:02-08",NULL,"28800","14400","Design IHM ","closed"
"10427","6","10001","10100",0,0,"0",6,0,"0.000","1 year 2 mons 24 days 06:25:08","0","2020-01-30 08:34:52-08",NULL,"28800","28800","Design BPMN basic process","closed"
"10428","6","10001","10100",10100,0,"0",6,0,"0.000","1 year 2 mons 24 days 06:20:42","0","2020-01-30 08:39:18-08",NULL,"57600","57600","IHM integration","closed"
"10450","7","10001","10100",10401,0,"72000",6,0,"-0.833","1 year 2 mons 5 days 05:53:02","0","2020-02-18 09:06:58-08",NULL,"86400","14400","BE- Add Documents","closed"
"10451","7","10001","10100",10100,0,"72000",6,0,"-0.833","1 year 2 mons 5 days 05:52:25","0","2020-02-18 09:07:35-08",NULL,"86400","14400","BE- Add Visit Report","closed"
"10453","7","10001","10100",10401,0,"-7200",6,1,"0.250","1 year 2 mons 4 days 14:13:20","0","2020-02-19 00:46:40-08",NULL,"28800","36000","Mise à jour & configuration schéma workflow (BPMN)","closed"
"10457","9","10200","10100",10101,0,"7200",6,0,"-0.500","1 year 2 mons 4 days 13:56:24","0","2020-02-19 01:03:36-08",NULL,"14400","7200","DOC - Approval","closed"
"10458","9","10200","10100",10101,0,"7200",6,0,"-0.500","1 year 2 mons 4 days 13:52:09","0","2020-02-19 01:07:51-08",NULL,"14400","7200","DOC - Check Guarantor + Collateral","closed"
"10459","10","10001","10100",10600,0,"-14400",6,1,"0.250","1 year 2 mons 4 days 13:49:58","0","2020-02-19 01:10:02-08",NULL,"57600","72000","DOC - Add Documents","closed"
"10460","8","10001","10100",10101,0,"3600",6,0,"-0.250","1 year 2 mons 4 days 13:43:25","0","2020-02-19 01:16:35-08",NULL,"14400","10800","DOC - Loan App Info","closed"
"10461","7","10001","10100",10101,0,"43200",6,0,"-0.500","1 year 2 mons 4 days 13:38:46","0","2020-02-19 01:21:14-08",NULL,"86400","43200","Préparartion Maquettes","closed"
"10464","7","10001","10100",10401,0,"0",6,0,"0.000","1 year 2 mons 4 days 12:36:02","0","2020-02-19 02:23:58-08",NULL,"28800","28800","BE - Setting documents","closed"
"10465","27","10001","10100",10000,0,"21600",6,0,"-0.150","1 year 2 mons 4 days 09:59:05","0","2020-02-19 05:00:55-08",NULL,"144000","122400","Loan agreements","closed"
"10465","32","10001","10100",10000,0,"21600",6,0,"-0.150","1 year 2 mons 4 days 09:59:05","0","2020-02-19 05:00:55-08",NULL,"144000","122400","Loan agreements","closed"
"10465","33","10001","10100",10000,0,"21600",6,0,"-0.150","1 year 2 mons 4 days 09:59:05","0","2020-02-19 05:00:55-08",NULL,"144000","122400","Loan agreements","closed"
"10466","7","10200","10100",10401,0,"0",6,0,"0.000","1 year 2 mons 3 days 08:57:10","0","2020-02-20 06:02:50-08",NULL,"14400","14400","Mis a jour model Loan / process batch","closed"
"10469","7","10001","10100",10100,0,"-39600",6,1,"1.375","1 year 1 mon 27 days 13:24:10","0","2020-02-25 01:35:50-08",NULL,"28800","68400","BE- Bring Loan Info","closed"
"10470","9","10001","10100",10100,0,"-14400",6,1,"1.000","1 year 1 mon 27 days 10:15:17","0","2020-02-25 04:44:43-08",NULL,"14400","28800","FE- Check Collateral","closed"
"10470","10","10001","10100",10100,0,"-14400",6,1,"1.000","1 year 1 mon 27 days 10:15:17","0","2020-02-25 04:44:43-08",NULL,"14400","28800","FE- Check Collateral","closed"
"10471","9","10001","10100",10100,0,"0",6,0,"0.000","1 year 1 mon 27 days 10:14:45","0","2020-02-25 04:45:15-08",NULL,"28800","28800","FE- Check Guarantor","closed"
"10472","9","10001","10100",10100,0,"-57600",6,1,"2.000","1 year 1 mon 27 days 10:13:39","0","2020-02-25 04:46:21-08",NULL,"28800","86400","FE- Add Field Visit Report","closed"
"10473","10","10001","10100",10600,0,"-36000",6,1,"0.417","1 year 1 mon 27 days 10:13:24","0","2020-02-25 04:46:36-08",NULL,"86400","122400","FE- Add Documents (Process)","closed"
"10474","8","10001","10100",10100,0,"-57600",6,1,"1.000","1 year 1 mon 27 days 10:12:28","0","2020-02-25 04:47:32-08",NULL,"57600","115200","FE- New Loan Application","closed"
"10475","7","10001","10100",10401,0,"57600",6,0,"-0.667","1 year 1 mon 27 days 10:11:29","0","2020-02-25 04:48:31-08",NULL,"86400","28800","BE- Motif de rejet + Motif de correction + Doc","closed"
"10476","10","10001","10100",10100,0,"0",6,0,"0.000","1 year 1 mon 27 days 06:38:32","0","2020-02-25 08:21:28-08",NULL,"28800","28800","FE- Add Financial Analysis","closed"
"10477","8","10001","10100",10401,0,"28800",6,0,"-1.000","1 year 1 mon 27 days 06:38:09","0","2020-02-25 08:21:51-08",NULL,"28800","0","BE- Add financial analysis","closed"
"10478","8","10001","10100",10401,0,"0",6,0,"0.000","1 year 1 mon 27 days 06:03:37","0","2020-02-25 08:56:23-08",NULL,"14400","14400","BE- Loan Histo","closed"
"10479","7","10001","10100",10000,0,"0",6,0,"0.000","1 year 1 mon 27 days 06:02:10","0","2020-02-25 08:57:50-08",NULL,"28800","28800","BE- Setting Loan Product Parameters + Doc","closed"
"10480","18","10001","10100",10401,0,"0",6,0,"0.000","1 year 1 mon 27 days 05:55:35","0","2020-02-25 09:04:25-08",NULL,"28800","28800","Send email with notifications","closed"
"10481","10","10001","10100",10100,0,"0",6,0,"0.000","1 year 1 mon 26 days 09:37:14","0","2020-02-26 05:22:46-08",NULL,"28800","28800","BE- Customer decision","closed"
"10483","8","10001","10100",10100,0,"10800",6,0,"-0.375","1 year 1 mon 20 days 14:35:26","0","2020-03-03 00:24:34-08",NULL,"28800","18000","BE- Setting Loan Product Parameters + Doc","closed"
"10484","8","10001","10100",10101,0,"57600",6,0,"-0.667","1 year 1 mon 20 days 14:32:37","0","2020-03-03 00:27:23-08",NULL,"86400","28800","Préparartion Maquettes","closed"
"10503","8","10001","10100",10101,0,"0",6,0,"0.000","1 year 1 mon 17 days 13:58:05","0","2020-03-06 01:01:55-08",NULL,"14400","14400","DOC - My Dashboard","closed"
"10505","9","10001","10100",10401,0,"28800",6,0,"-0.667","1 year 1 mon 12 days 09:01:32","0","2020-03-11 06:58:28-07",NULL,"43200","14400","BE- Load Loan Process","closed"
"10506","9","10001","10100",10401,0,"0",6,0,"0.000","1 year 1 mon 12 days 09:00:01","0","2020-03-11 06:59:59-07",NULL,"14400","0","BE- Load customer accounts","closed"
"10508","8","10200","10100",10401,0,"0",6,0,"0.000","1 year 1 mon 7 days 12:05:38","0","2020-03-16 03:54:22-07",NULL,"7200","7200","Mis en place Environnement de recette","closed"
"10510","9","10001","10100",10100,0,"0",6,0,"0.000","1 year 1 mon 6 days 06:20:36","0","2020-03-17 09:39:24-07",NULL,"28800","0","FE- Initial check screen improvements","closed"
"10511","9","10001","10100",10100,0,"-25200",6,1,"7.000","1 year 1 mon 6 days 06:20:22","0","2020-03-17 09:39:38-07",NULL,"3600","28800","FE- Dashboard Screen Improvements","closed"
"10512","9","10200","10100",10101,0,"0",6,0,"0.000","1 year 1 mon 6 days 05:59:12","0","2020-03-17 10:00:48-07",NULL,"14400","0","DOC- Update documents from SP3","closed"
"10513","11","10200","10100",10101,0,"18000",6,0,"-0.625","1 year 1 mon 6 days 05:58:32","0","2020-03-17 10:01:28-07",NULL,"28800","10800","DOC- ACM Charte Graphique","closed"
"10517","9","10001","10100",10401,0,"43200",6,0,"-0.750","1 year 1 mon 5 days 14:00:57","0","2020-03-18 01:59:03-07",NULL,"57600","14400","FE- Customer accounts","closed"
